POPTOT-SN-RGPHAE-2013,,13 508 715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECTION DE LA POPULATION DE LA REGION DE DAKAR - 2013-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOM LOCALITE,RGPHAE 2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,
,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble
CA. YOFF,42 639,46 803,89442,43947,48239,92187,45269,49690,94959,46610,51162,97772,47968,52653,100621,49341,54160,103501,50727,55681,106408,52123,57214,109337,53528,58755,112283,54939,60305,115245,56358,61862,118220,57783,63426,121209,59213,64996,124210
CA.MERMOZ/ SACRE -COEUR,13 987,15 811,29798,14416,16296,30712,14850,16786,31636,15290,17283,32573,15735,17787,33522,16185,18296,34482,16640,18810,35450,17098,19328,36426,17559,19849,37408,18022,20372,38394,18487,20898,39386,18955,21426,40381,19424,21957,41381
ARRONDISSEMENT PARCELLES ASS,220257,218270,438527,227016,224968,451983,233842,231733,465574,240770,238598,479368,247786,245551,493337,254879,252579,507458,262037,259673,521710,269250,266821,536071,276506,274011,550516,283798,281237,565035,291125,288499,579624,298486,295793,594278,305876,303117,608993
CA. GRAND YOFF,93 053,92 450,185503,95908,95287,191195,98792,98152,196944,101719,101060,202779,104683,104005,208688,107680,106982,214662,110704,109987,220691,113751,113015,226765,116817,116060,232876,119897,119121,239018,122993,122196,245189,126103,125286,251388,129225,128388,257612
CA. PATTE D’OIE,20 126,20 980,41106,20743,21624,42367,21367,22274,43641,22000,22934,44934,22641,23602,46244,23289,24278,47567,23943,24960,48903,24602,25647,50249,25265,26338,51603,25931,27032,52964,26601,27730,54332,27274,28431,55706,27949,29135,57085
CA. PARCELLES ASSAINIES,80 792,78 706,159498,83271,81121,164392,85775,83561,169336,88316,86036,174352,90890,88543,179433,93491,91078,184569,96117,93636,189753,98763,96213,194976,101424,98806,200230,104099,101412,205511,106787,104030,210817,109487,106660,216147,112197,109301,221499
CA. CAMBERENE,26 287,26 133,52420,27093,26935,54028,27908,27745,55653,28735,28567,57302,29572,29400,58972,30419,30241,60660,31273,31091,62363,32134,31946,64080,33000,32807,65807,33870,33672,67542,34745,34542,69286,35623,35415,71038,36505,36292,72797
DEPARTEMENT DE GUEDIAWAYE,163400,166258,329658,168414,171360,339773,173478,176512,349991,178618,181742,360360,183823,187038,370860,189084,192392,381476,194395,197795,392190,199746,203240,402986,205128,208716,413844,210538,214221,424759,215974,219752,435726,221435,225308,446742,226917,230886,457804
ARRONDISSEMENT GUEDIAWAYE,163400,166258,329658,168414,171360,339773,173478,176512,349991,178618,181742,360360,183823,187038,370860,189084,192392,381476,194395,197795,392190,199746,203240,402986,205128,208716,413844,210538,214221,424759,215974,219752,435726,221435,225308,446742,226917,230886,457804
CA. GOLF SUD,45 110,47 235,92345,46494,48685,95179,47892,50149,98041,49311,51635,100945,50748,53139,103887,52200,54660,106860,53666,56195,109862,55143,57742,112886,56629,59298,115928,58123,60862,118985,59624,62433,122057,61131,64012,125143,62645,65597,128242
CA. SAM NOTAIRE,39 015,39 645,78660,40212,40862,81074,41421,42091,83512,42648,43338,85986,43891,44600,88491,45147,45877,91024,46415,47166,93581,47693,48464,96157,48978,49770,98748,50270,51082,101352,51568,52401,103969,52871,53726,106598,54181,55056,109237
CA. N’DIAREME LIMAMOULAYE,17 569,17 601,35171,18108,18141,36250,18652,18687,37340,19205,19241,38447,19764,19801,39567,20330,20368,40699,20901,20940,41843,21476,21517,42994,22055,22096,44153,22637,22679,45317,23221,23265,46487,23808,23853,47663,24398,24443,48843
CA. WAKHINANE NIMZATT,44 482,45 239,89721,45847,46627,92474,47226,48029,95255,48625,49452,98077,50042,50893,100935,51474,52350,103824,52920,53820,106740,54377,55302,109678,55842,56792,112634,57315,58290,115604,58795,59795,118589,60281,61306,121587,61774,62824,124598
CA. MEDINA GOUNASS,17 224,16 537,33762,17753,17045,34798,18287,17557,35844,18829,18077,36906,19377,18604,37982,19932,19137,39069,20492,19674,40166,21056,20216,41272,21623,20760,42384,22193,21308,43502,22766,21858,44625,23342,22411,45753,23920,22966,46886
