POPTOT-SN-RGPHAE-2013,,13 508 715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECTION DE LA POPULATION DE LA REGION DE DAKAR - 2013-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOM LOCALITE,RGPHAE 2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,
,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble
CR. BOULEL,11 680,11 728,23409,12 112,12 162,24 274,12 559,12 610,25 170,13 020,13 073,26 094,13 496,13 551,27 048,13 987,14 044,28 032,14 494,14 553,29 047,15 017,15 078,30 096,15 557,15 621,31 178,16 115,16 181,32 297,16 693,16 761,33 454,17 290,17 361,34 652,17 909,17 983,35 892
CR. GNIBY,7 927,7 617,15544,8 220,7 899,16 118,8 524,8 190,16 713,8 837,8 491,17 327,9 160,8 801,17 960,9 493,9 121,18 613,9 837,9 452,19 288,10 192,9 793,19 984,10 558,10 145,20 703,10 937,10 509,21 446,11 329,10 886,22 214,11 735,11 276,23 010,12 155,11 679,23 833
CR. KAHI,10 708,10 782,21491,11 104,11 181,22 285,11 514,11 593,23 107,11 936,12 019,23 956,12 373,12 458,24 831,12 823,12 912,25 735,13 287,13 379,26 667,13 767,13 862,27 630,14 262,14 361,28 624,14 774,14 876,29 651,15 303,15 409,30 713,15 851,15 961,31 813,16 419,16 532,32 951
ARRONDISSEMENT KATAKEL,46550,50638,97188,48 270,52 509,100 780,50 051,54 447,104 498,51 889,56 446,108 335,53 785,58 509,112 294,55 742,60 637,116 380,57 762,62 834,120 596,59 847,65 102,124 949,62 000,67 444,129 444,64 225,69 865,134 089,66 526,72 368,138 894,68 907,74 959,143 866,71 373,77 641,149 015
CR. DIOKOUL M’BELBOUCK,11 851,12 425,24277,12 289,12 885,25 174,12 743,13 360,26 103,13 211,13 850,27 061,13 693,14 357,28 050,14 192,14 879,29 071,14 706,15 418,30 124,15 236,15 975,31 211,15 785,16 549,32 334,16 351,17 143,33 495,16 937,17 757,34 695,17 543,18 393,35 937,18 171,19 051,37 223
CR. KATHIOTE,15 569,17 394,32963,16 144,18 037,34 181,16 740,18 702,35 442,17 355,19 389,36 744,17 989,20 098,38 087,18 643,20 829,39 472,19 319,21 583,40 902,20 016,22 362,42 379,20 736,23 167,43 903,21 480,23 998,45 479,22 250,24 858,47 108,23 046,25 748,48 795,23 871,26 670,50 541
CR. MEDINATOUL SALAM 2,10 308,10 304,20613,10 689,10 685,21 375,11 084,11 079,22 163,11 491,11 486,22 977,11 911,11 906,23 817,12 344,12 339,24 683,12 791,12 786,25 578,13 253,13 248,26 501,13 730,13 724,27 454,14 222,14 217,28 440,14 732,14 726,29 459,15 259,15 253,30 513,15 805,15 799,31 605
CR. DIAMAGADIO,8 821,10 515,19336,9 147,10 903,20 051,9 485,11 305,20 790,9 833,11 721,21 554,10 192,12 149,22 341,10 563,12 591,23 154,10 946,13 047,23 993,11 341,13 518,24 859,11 749,14 004,25 753,12 171,14 507,26 678,12 607,15 027,27 634,13 058,15 565,28 623,13 525,16 122,29 647
DEPARTEMENT MBIRKILANE,49 798,51419,101217,51 638,53 319,104 958,53 544,55 286,108 830,55 510,57 316,112 826,57 538,59 411,116 949,59 632,61 573,121 204,61 792,63 804,125 596,64 022,66 106,130 129,66 326,68 485,134 810,68 706,70 942,139 648,71 168,73 484,144 652,73 715,76 115,149 830,76 353,78 839,155 192
COM .BIRKELANE,3 376,3 635,7011,3 501,3 770,7 270,3 630,3 909,7 538,3 763,4 052,7 815,3 901,4 200,8 101,4 043,4 353,8 395,4 189,4 511,8 700,4 341,4 674,9 014,4 497,4 842,9 338,4 658,5 015,9 673,4 825,5 195,10 020,4 998,5 381,10 378,5 177,5 574,10 750
ARRONDISSMENT KEUR M’BOUKI,15364,14948,30312,15 932,15 500,31 432,16 520,16 072,32 592,17 126,16 662,33 789,17 752,17 271,35 023,18 398,17 900,36 298,19 065,18 548,37 613,19 753,19 218,38 970,20 463,19 909,40 372,21 198,20 624,41 821,21 957,21 363,43 320,22 743,22 127,44 870,23 557,22 919,46 476
CR. KEUR M’BOUKI,5 125,5 014,10139,5 314,5 200,10 514,5 511,5 392,10 902,5 713,5 589,11 302,5 922,5 794,11 715,6 137,6 005,12 141,6 359,6 222,12 581,6 589,6 447,13 035,6 826,6 679,13 504,7 071,6 918,13 989,7 324,7 166,14 490,7 587,7 423,15 009,7 858,7 688,15 546
CR. TOUBA M’BELLA,5 066,4 856,9922,5 253,5 036,10 289,5 447,5 221,10 668,5 647,5 413,11 060,5 853,5 611,11 464,6 066,5 815,11 881,6 286,6 026,12 312,6 512,6 243,12 756,6 747,6 468,13 215,6 989,6 700,13 689,7 239,6 940,14 180,7 498,7 188,14 687,7 767,7 446,15 213
CR. DIAMAL,5 173,5 077,10250,5 364,5 265,10 629,5 562,5 459,11 021,5 766,5 660,11 426,5 977,5 866,11 843,6 195,6 080,12 274,6 419,6 300,12 719,6 651,6 527,13 178,6 890,6 762,13 652,7 137,7 005,14 142,7 393,7 256,14 649,7 658,7 516,15 173,7 932,7 785,15 716
ARRONDISSEMENT MABO,31058,32836,63894,32 206,34 050,66 255,33 394,35 306,68 700,34 620,36 602,71 222,35 885,37 940,73 825,37 191,39 320,76 511,38 538,40 745,79 283,39 929,42 215,82 145,41 366,43 734,85 100,42 850,45 303,88 154,44 386,46 927,91 313,45 975,48 607,94 581,47 620,50 346,97 966
CR. MABO,12 308,12 900,25208,12 763,13 377,26 140,13 234,13 871,27 104,13 720,14 380,28 099,14 221,14 906,29 126,14 738,15 448,30 186,15 272,16 008,31 279,15 824,16 585,32 408,16 393,17 182,33 574,16 981,17 799,34 779,17 590,18 436,36 025,18 219,19 096,37 315,18 871,19 780,38 651
CR. N’DIOGNICK,14 345,15 431,29776,14 875,16 001,30 876,15 424,16 592,32 016,15 990,17 201,33 191,16 575,17 830,34 404,17 178,18 478,35 656,17 800,19 148,36 948,18 442,19 839,38 281,19 106,20 553,39 658,19 792,21 290,41 082,20 501,22 053,42 554,21 235,22 842,44 077,21 995,23 660,45 654
CR. MBEULEUP,2 070,2 108,4179,2 147,2 186,4 333,2 226,2 267,4 493,2 308,2 350,4 658,2 392,2 436,4 829,2 479,2 525,5 004,2 569,2 616,5 186,2 662,2 710,5 373,2 758,2 808,5 566,2 856,2 909,5 766,2 959,3 013,5 972,3 065,3 121,6 186,3 174,3 233,6 408
CR. SEGRE GATTA,2 334,2 396,4730,2 421,2 484,4 905,2 510,2 576,5 086,2 602,2 671,5 273,2 697,2 768,5 465,2 795,2 869,5 664,2 897,2 973,5 869,3 001,3 080,6 081,3 109,3 191,6 300,3 221,3 306,6 526,3 336,3 424,6 760,3 456,3 547,7 002,3 579,3 674,7 252
DEPARTEMENT KOUNGHEUL,82750,80688,163438,85 808,83 670,169 478,88 974,86 757,175 731,92 241,89 942,182 183,95 612,93 230,188 842,99 091,96 621,195 712,102 681,100 122,202 803,106 387,103 736,210 123,110 214,107 468,217 682,114 169,111 324,225 494,118 260,115 313,233 574,122 494,119 441,241 935,126 878,123 716,250 593
COM. KOUNGHEUL,10 232,10 710,20942,10 611,11 106,21 716,11 002,11 515,22 517,11 406,11 938,23 344,11 823,12 374,24 197,12 253,12 825,25 077,12 697,13 289,25 986,13 155,13 769,26 924,13 629,14 264,27 892,14 118,14 776,28 893,14 623,15 306,29 929,15 147,15 854,31 000,15 689,16 421,32 110
ARRONDISSEMENT IDA MOURIDE,29253,28492,57745,30 334,29 545,59 879,31 453,30 635,62 088,32 608,31 760,64 368,33 800,32 921,66 720,35 030,34 118,69 148,36 299,35 354,71 653,37 609,36 630,74 239,38 962,37 948,76 910,40 360,39 310,79 670,41 806,40 719,82 525,43 303,42 176,85 479,44 853,43 686,88 538
CR. SALY ESCALE,11 382,11 417,22799,11 802,11 839,23 642,12 238,12 276,24 514,12 687,12 727,25 414,13 151,13 192,26 343,13 629,13 672,27 301,14 123,14 167,28 290,14 633,14 679,29 311,15 159,15 207,30 366,15 703,15 752,31 456,16 266,16 317,32 583,16 848,16 901,33 749,17 451,17 506,34 957
CR. FASS THIEKENE,8 138,7 729,15867,8 438,8 015,16 453,8 750,8 310,17 060,9 071,8 615,17 687,9 402,8 930,18 333,9 745,9 255,19 000,10 098,9 590,19 689,10 462,9 937,20 399,10 838,10 294,21 133,11 227,10 664,21 892,11 630,11 046,22 676,12 046,11 441,23 488,12 477,11 850,24 328
CR. IDA MOURIDE,9 734,9 345,19079,10 093,9 691,19 784,10 466,10 048,20 514,10 850,10 417,21 267,11 247,10 798,22 044,11 656,11 191,22 846,12 078,11 596,23 674,12 514,12 015,24 529,12 964,12 447,25 411,13 429,12 894,26 323,13 911,13 356,27 266,14 409,13 834,28 242,14 924,14 329,29 253
ARRONDISSEMENT LOUR ESCALE,18717,17824,36541,19 409,18 483,37 891,20 125,19 165,39 289,20 864,19 868,40 732,21 626,20 594,42 221,22 413,21 344,43 757,23 225,22 117,45 342,24 063,22 915,46 979,24 929,23 740,48 669,25 824,24 592,50 415,26 749,25 473,52 222,27 707,26 385,54 091,28 698,27 329,56 027
CR. LOUR ESCALE,11 406,11 124,22530,11 827,11 535,23 363,12 264,11 960,24 225,12 714,12 400,25 114,13 179,12 853,26 032,13 658,13 320,26 979,14 153,13 803,27 956,14 664,14 301,28 965,15 191,14 816,30 008,15 737,15 347,31 084,16 301,15 897,32 198,16 884,16 466,33 351,17 488,17 056,34 544
CR. RIBOT ESCALE,7 311,6 700,14011,7 582,6 948,14 529,7 861,7 204,15 065,8 150,7 468,15 618,8 448,7 741,16 189,8 755,8 023,16 778,9 072,8 314,17 386,9 400,8 614,18 013,9 738,8 924,18 661,10 088,9 244,19 331,10 449,9 575,20 024,10 823,9 918,20 740,11 210,10 273,21 483
ARRONDISSEMENT MISSIRAH WADE,24548,23662,48210,25 455,24 536,49 992,26 394,25 442,51 836,27 364,26 376,53 739,28 364,27 340,55 703,29 395,28 334,57 730,30 461,29 361,59 822,31 560,30 421,61 981,32 695,31 515,64 211,33 869,32 646,66 515,35 082,33 816,68 898,36 338,35 027,71 365,37 639,36 280,73 919
CR. GAINTHE PATHE,7 890,7 600,15490,8 182,7 881,16 062,8 483,8 172,16 655,8 795,8 472,17 267,9 116,8 782,17 898,9 448,9 101,18 549,9 790,9 431,19 221,10 144,9 771,19 915,10 509,10 123,20 631,10 886,10 486,21 371,11 276,10 862,22 137,11 679,11 251,22 930,12 097,11 653,23 750
CR. MAKA YOP,6 902,6 921,13823,7 157,7 177,14 334,7 421,7 442,14 863,7 694,7 715,15 408,7 975,7 997,15 972,8 265,8 288,16 553,8 565,8 588,17 152,8 874,8 898,17 771,9 193,9 219,18 411,9 523,9 549,19 071,9 864,9 892,19 755,10 217,10 246,20 462,10 583,10 612,21 194
CR. MISSIRAH WADENE,9 756,9 140,18896,10 117,9 478,19 594,10 490,9 827,20 317,10 875,10 188,21 063,11 273,10 561,21 833,11 683,10 945,22 627,12 106,11 341,23 447,12 543,11 751,24 293,12 994,12 173,25 167,13 460,12 610,26 071,13 943,13 062,27 005,14 442,13 530,27 972,14 959,14 014,28 973
DEPARTEMENT MALEM HODDAR,48178,46484,94662,49 958,48 202,98 160,51 802,49 980,101 782,53 704,51 815,105 519,55 666,53 709,109 376,57 692,55 663,113 355,59 782,57 680,117 462,61 940,59 762,121 701,64 168,61 912,126 080,66 471,64 133,130 604,68 853,66 432,135 284,71 317,68 810,140 127,73 870,71 272,145 142
COM. MALEM HODDAR,3 943,3 936,7879,4 089,4 081,8 170,4 240,4 232,8 472,4 395,4 387,8 783,4 556,4 548,9 104,4 722,4 713,9 435,4 893,4 884,9 777,5 069,5 060,10 130,5 252,5 242,10 494,5 440,5 430,10 871,5 635,5 625,11 260,5 837,5 826,11 663,6 046,6 035,12 081
ARRONDISSEMENT DAROU MINAM II,16563,13472,30035,17 175,13 970,31 145,17 809,14 485,32 294,18 463,15 017,33 480,19 137,15 566,34 703,19 834,16 132,35 966,20 552,16 717,37 269,21 294,17 320,38 614,22 060,17 943,40 003,22 852,18 587,41 439,23 671,19 253,42 924,24 518,19 942,44 460,25 395,20 656,46 052
CR. DAROU MINAM II,7 966,6 900,14866,8 260,7 155,15 415,8 565,7 419,15 984,8 879,7 692,16 571,9 204,7 973,17 177,9 539,8 263,17 802,9 884,8 562,18 447,10 241,8 871,19 112,10 610,9 190,19 800,10 990,9 520,20 510,11 384,9 861,21 245,11 792,10 214,22 006,12 214,10 580,22 793
CR. N’DIOUM N’GAINTH,4 158,3 929,8087,4 312,4 074,8 386,4 471,4 225,8 695,4 635,4 380,9 015,4 804,4 540,9 344,4 979,4 705,9 684,5 159,4 875,10 035,5 346,5 051,10 397,5 538,5 233,10 771,5 737,5 421,11 158,5 942,5 615,11 557,6 155,5 816,11 971,6 375,6 024,12 399
CR. KHELCOM,1 568,97,1665,1 626,100,1 727,1 686,104,1 790,1 748,108,1 856,1 812,112,1 924,1 878,116,1 994,1 946,120,2 066,2 016,124,2 141,2 088,129,2 218,2 163,133,2 297,2 241,138,2 379,2 321,143,2 465,2 404,148,2 553
CR. NDIOBENE SAMBA LAMO,2 872,2 546,5418,2 978,2 640,5 618,3 088,2 737,5 826,3 201,2 838,6 039,3 318,2 942,6 260,3 439,3 049,6 488,3 563,3 159,6 723,3 692,3 273,6 966,3 825,3 391,7 216,3 962,3 513,7 475,4 104,3 639,7 743,4 251,3 769,8 020,4 403,3 904,8 307
ARRONDISSEMENT SAGNA,27672,29076,56748,28 695,30 151,58 845,29 753,31 263,61 016,30 846,32 411,63 257,31 973,33 595,65 568,33 136,34 818,67 954,34 337,36 079,70 416,35 576,37 381,72 958,36 856,38 726,75 582,38 179,40 116,78 295,39 547,41 553,81 100,40 963,43 041,84 003,42 428,44 581,87 010
CR. DIANKE SOUF,9 561,9 475,19036,9 914,9 825,19 740,10 280,10 188,20 468,10 657,10 562,21 219,11 047,10 948,21 995,11 448,11 346,22 795,11 863,11 757,23 621,12 291,12 182,24 473,12 734,12 620,25 354,13 191,13 073,26 264,13 663,13 541,27 205,14 152,14 026,28 179,14 659,14 528,29 187
CR. SAGNA,18 111,19 601,37712,18 781,20 325,39 106,19 474,21 075,40 548,20 189,21 849,42 037,20 926,22 647,43 574,21 688,23 471,45 159,22 474,24 321,46 795,23 285,25 199,48 484,24 122,26 106,50 228,24 988,27 043,52 031,25 884,28 012,53 895,26 810,29 014,55 825,27 770,30 053,57 822
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECTION DE LA POPULATION D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOM LOCALITE,RGPHAE 2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,
,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble
REGION KAOLACK,474404,486471,960875,489 366,501 382,990 748,504 848,516 808,1 021 656,520 814,532 721,1 053 535,537 303,549 161,1 086 464,554 294,566 110,1 120 404,571 826,583 607,1 155 433,589 905,601 661,1 191 566,608 500,620 246,1 228 746,627 630,639 384,1 267 014,647 262,659 042,1 306 304,667 394,679 219,1 346 613,688 060,699 947,1 388 007
ZONE URBAINE,163801,174958,338760,175 682,179 996,355 678,183 260,187 601,370 861,191 139,195 509,386 648,199 339,203 739,403 078,207 860,212 291,420 151,216 722,221 187,437 909,225 934,230 436,456 370,235 489,240 035,475 524,245 403,249 999,495 402,255 668,260 322,515 990,266 290,271 008,537 298,277 288,282 079,559 367
ZONE RURALE,310603,311512,622115,313 683,321 386,635 069,321 588,329 207,650 795,329 676,337 213,666 889,337 964,345 422,683 386,346 434,353 818,700 252,355 104,362 420,717 524,363 971,371 225,735 196,373 010,380 211,753 221,382 226,389 385,771 611,391 593,398 721,790 314,401 104,408 210,809 314,410 772,417 868,828 640
DEPARTEMENT KAOLACK,240 298,248467,488765,247 769,256 192,503 960,255 498,264 184,519 682,263 471,272 427,535 898,271 706,280 942,552 648,280 193,289 719,569 912,288 954,298 777,587 730,297 990,308 120,606 110,307 288,317 734,625 022,316 858,327 630,644 488,326 684,337 789,664 473,336 764,348 213,684 977,347 116,358 917,706 033
COM. KAOLACK,113 014,120 694,233707,116 527,124 446,240 973,120 162,128 328,248 490,123 912,132 333,256 244,127 785,136 469,264 253,131 777,140 732,272 508,135 897,145 132,281 028,140 146,149 670,289 816,144 519,154 340,298 859,149 020,159 147,308 167,153 641,164 082,317 723,158 382,169 146,327 527,163 251,174 345,337 595
COM. KAHONE,7 302,6 929,14231,7 529,7 145,14 673,7 764,7 368,15 131,8 006,7 598,15 603,8 256,7 835,16 091,8 514,8 080,16 594,8 780,8 332,17 112,9 055,8 593,17 648,9 337,8 861,18 198,9 628,9 137,18 765,9 927,9 421,19 347,10 233,9 711,19 944,10 547,10 010,20 557
COM. GANDIAYE,6 633,7 186,13819,6 839,7 409,14 249,7 053,7 641,14 693,7 273,7 879,15 152,7 500,8 125,15 625,7 734,8 379,16 113,7 976,8 641,16 617,8 226,8 911,17 137,8 482,9 189,17 671,8 747,9 476,18 222,9 018,9 769,18 787,9 296,10 071,19 367,9 582,10 380,19 962
COM. NDOFFANE,6 226,6 672,12898,6 419,6 879,13 299,6 620,7 094,13 714,6 826,7 315,14 142,7 040,7 544,14 584,7 259,7 779,15 039,7 486,8 023,15 510,7 721,8 273,15 995,7 961,8 532,16 494,8 209,8 797,17 007,8 464,9 070,17 535,8 725,9 350,18 076,8 993,9 637,18 631
COM. SIBASSOR,3 868,4 273,8140,3 988,4 406,8 393,4 112,4 543,8 655,4 241,4 685,8 925,4 373,4 831,9 204,4 510,4 982,9 491,4 651,5 138,9 788,4 796,5 299,10 094,4 946,5 464,10 409,5 100,5 634,10 733,5 258,5 809,11 066,5 420,5 988,11 408,5 587,6 172,11 758
ARRONDISSEMENT NDIEDIENG,46145,44598,90743,47 580,45 985,93 564,49 064,47 419,96 483,50 595,48 899,99 494,52 176,50 427,102 603,53 806,52 002,105 809,55 488,53 628,109 117,57 224,55 305,112 529,59 009,57 031,116 040,60 847,58 807,119 654,62 734,60 631,123 365,64 670,62 502,127 171,66 658,64 423,131 080
CR. KEUR SOCE,13 399,13 568,26967,13 815,13 990,27 805,14 246,14 426,28 673,14 691,14 877,29 568,15 150,15 342,30 492,15 623,15 821,31 444,16 112,16 315,32 427,16 616,16 826,33 441,17 134,17 351,34 485,17 668,17 891,35 559,18 215,18 446,36 661,18 778,19 015,37 793,19 355,19 600,38 954
CR. NDIAFFATE,17 713,16 992,34705,18 263,17 521,35 784,18 833,18 067,36 900,19 421,18 631,38 052,20 028,19 213,39 241,20 653,19 814,40 467,21 299,20 433,41 732,21 965,21 072,43 037,22 651,21 730,44 380,23 356,22 406,45 762,24 080,23 101,47 181,24 823,23 814,48 637,25 586,24 546,50 132
CR. NDIEDIENG,15 033,14 037,29070,15 501,14 473,29 974,15 984,14 925,30 909,16 483,15 391,31 873,16 998,15 872,32 870,17 529,16 368,33 896,18 077,16 879,34 956,18 642,17 407,36 049,19 224,17 950,37 174,19 823,18 509,38 332,20 437,19 083,39 520,21 068,19 672,40 740,21 716,20 277,41 992
ARRONDISSEMENT KOUMBAL,35566,36444,72010,36 672,37 577,74 249,37 816,38 749,76 565,38 996,39 958,78 954,40 215,41 207,81 422,41 471,42 495,83 965,42 767,43 823,86 591,44 105,45 194,89 298,45 481,46 604,92 085,46 897,48 055,94 953,48 352,49 545,97 897,49 844,51 074,100 918,51 376,52 644,104 020
CR. LATMINGUE,14 390,14 424,28814,14 837,14 872,29 710,15 300,15 336,30 637,15 778,15 815,31 593,16 271,16 309,32 580,16 779,16 818,33 598,17 304,17 344,34 648,17 845,17 887,35 732,18 402,18 445,36 847,18 975,19 019,37 994,19 563,19 609,39 172,20 167,20 214,40 381,20 787,20 835,41 623
CR. THIARE,11 605,12 022,23626,11 965,12 395,24 361,12 339,12 782,25 120,12 724,13 181,25 904,13 121,13 593,26 714,13 531,14 017,27 548,13 954,14 456,28 410,14 391,14 908,29 298,14 840,15 373,30 212,15 302,15 852,31 153,15 776,16 343,32 119,16 263,16 848,33 111,16 763,17 365,34 128
CR. KEUR BAKA,9 572,9 999,19571,9 870,10 310,20 179,10 177,10 631,20 809,10 495,10 963,21 458,10 823,11 306,22 129,11 161,11 659,22 820,11 510,12 024,23 534,11 870,12 400,24 270,12 240,12 786,25 027,12 622,13 185,25 806,13 013,13 593,26 607,13 415,14 013,27 428,13 827,14 444,28 271
ARRONDISSEMENT NGOTHIE,21545,21671,43216,22 215,22 345,44 560,22 908,23 042,45 950,23 623,23 761,47 383,24 361,24 503,48 864,25 122,25 269,50 391,25 907,26 059,51 966,26 718,26 874,53 591,27 551,27 712,55 264,28 409,28 575,56 985,29 290,29 462,58 752,30 194,30 371,60 565,31 122,31 304,62 427
CR. DYA,7 470,7 479,14949,7 702,7 712,15 414,7 942,7 952,15 895,8 190,8 201,16 391,8 446,8 457,16 903,8 710,8 721,17 431,8 982,8 994,17 976,9 263,9 275,18 538,9 552,9 564,19 116,9 850,9 862,19 712,10 155,10 168,20 323,10 469,10 482,20 950,10 790,10 804,21 594
CR. NDIEBEL,6 798,6 731,13529,7 010,6 940,13 950,7 228,7 157,14 385,7 454,7 380,14 834,7 687,7 611,15 297,7 927,7 848,15 775,8 175,8 094,16 268,8 431,8 347,16 777,8 694,8 607,17 301,8 964,8 875,17 839,9 242,9 151,18 393,9 528,9 433,18 960,9 821,9 723,19 543
CR. THIOMBY,7 277,7 461,14737,7 503,7 693,15 195,7 737,7 933,15 669,7 978,8 180,16 158,8 228,8 436,16 663,8 485,8 699,17 184,8 750,8 971,17 721,9 024,9 252,18 275,9 305,9 541,18 845,9 595,9 838,19 432,9 892,10 143,20 035,10 198,10 456,20 653,10 511,10 777,21 288
DEPARTEMENT NIORO,176 144,180783,356927,181 620,186 403,368 024,187 286,192 219,379 505,193 130,198 216,391 347,199 167,204 412,403 578,205 388,210 797,416 186,211 810,217 388,429 198,218 433,224 186,442 620,225 249,231 181,456 430,232 264,238 381,470 646,239 467,245 773,485 240,246 856,253 357,500 213,254 444,261 145,515 590
COM. NIORO,10 154,10 630,20784,10 470,10 960,21 430,10 796,11 302,22 099,11 133,11 655,22 788,11 481,12 019,23 501,11 840,12 394,24 235,12 210,12 782,24 992,12 592,13 182,25 774,12 985,13 593,26 578,13 389,14 016,27 406,13 804,14 451,28 256,14 230,14 897,29 128,14 668,15 355,30 023
COM. KEUR MADIABEL,4 899,5 643,10542,5 052,5 819,10 870,5 209,6 000,11 209,5 372,6 187,11 559,5 540,6 381,11 920,5 713,6 580,12 292,5 891,6 786,12 677,6 075,6 998,13 073,6 265,7 216,13 481,6 460,7 441,13 901,6 660,7 672,14 332,6 866,7 909,14 774,7 077,8 152,15 228
ARRONDISSEMENT MEDINA-SABAKH,43949,45778,89727,45 315,47 201,92 517,46 729,48 674,95 403,48 187,50 193,98 380,49 693,51 761,101 455,51 246,53 378,104 624,52 848,55 047,107 895,54 500,56 769,111 269,56 201,58 540,114 741,57 951,60 363,118 314,59 748,62 235,121 983,61 592,64 155,125 747,63 485,66 127,129 613
CR. KAYEMOR,11 259,11 265,22524,11 609,11 615,23 224,11 971,11 978,23 949,12 344,12 351,24 696,12 730,12 737,25 468,13 128,13 135,26 264,13 538,13 546,27 085,13 962,13 969,27 932,14 397,14 405,28 803,14 846,14 854,29 700,15 306,15 315,30 621,15 778,15 787,31 566,16 263,16 272,32 536
CR. MEDINA-SABAKH,21 379,21 982,43362,22 044,22 666,44 710,22 732,23 373,46 105,23 441,24 102,47 544,24 174,24 855,49 030,24 929,25 632,50 561,25 708,26 433,52 142,26 512,27 260,53 773,27 340,28 110,55 450,28 191,28 986,57 177,29 065,29 885,58 950,29 962,30 807,60 769,30 883,31 754,62 637
CR. NGAYENE,11 311,12 531,23842,11 663,12 920,24 583,12 026,13 323,25 350,12 402,13 739,26 141,12 789,14 168,26 958,13 189,14 611,27 800,13 601,15 068,28 670,14 027,15 539,29 566,14 464,16 024,30 489,14 915,16 523,31 438,15 377,17 035,32 413,15 852,17 561,33 413,16 339,18 101,34 440
ARRONDISSEMENT PAOSKOTO,70433,71267,141700,72 623,73 483,146 105,74 888,75 775,150 663,77 225,78 139,155 365,79 639,80 582,160 221,82 127,83 099,165 226,84 694,85 697,170 391,87 343,88 377,175 720,90 068,91 135,181 203,92 873,93 973,186 846,95 753,96 887,192 640,98 708,99 877,198 585,101 742,102 947,204 689
CR. GAINTE KAYE,14 049,13 538,27586,14 485,13 959,28 444,14 937,14 394,29 331,15 403,14 843,30 246,15 885,15 307,31 192,16 381,15 786,32 166,16 893,16 279,33 172,17 421,16 788,34 209,17 965,17 312,35 276,18 524,17 851,36 375,19 099,18 405,37 503,19 688,18 973,38 660,20 293,19 556,39 849
CR. PAOSKOTO,7 748,8 465,16214,7 989,8 729,16 718,8 238,9 001,17 240,8 495,9 282,17 778,8 761,9 572,18 333,9 035,9 871,18 906,9 317,10 179,19 497,9 608,10 498,20 107,9 908,10 825,20 734,10 217,11 162,21 380,10 534,11 509,22 043,10 859,11 864,22 723,11 192,12 228,23 422
CR. POROKHANE,16 458,16 598,33056,16 969,17 114,34 084,17 499,17 648,35 147,18 045,18 199,36 244,18 609,18 768,37 377,19 190,19 354,38 544,19 790,19 959,39 749,20 409,20 583,40 992,21 046,21 225,42 271,21 701,21 886,43 588,22 374,22 565,44 939,23 064,23 261,46 326,23 773,23 976,47 750
CR. TAÏBA NIASSENE,13 965,13 574,27539,14 399,13 996,28 395,14 848,14 433,29 281,15 312,14 883,30 195,15 790,15 348,31 138,16 283,15 828,32 111,16 793,16 322,33 115,17 318,16 833,34 151,17 858,17 358,35 216,18 414,17 899,36 313,18 985,18 454,37 439,19 571,19 023,38 594,20 173,19 608,39 781
CR. DABALY,5 499,5 435,10934,5 670,5 604,11 274,5 847,5 779,11 626,6 030,5 959,11 988,6 218,6 145,12 363,6 412,6 337,12 749,6 613,6 535,13 148,6 820,6 740,13 559,7 032,6 950,13 982,7 251,7 166,14 418,7 476,7 389,14 865,7 707,7 617,15 323,7 944,7 851,15 794
CR. DAROU SALAM,12 714,13 656,26371,13 110,14 081,27 191,13 519,14 520,28 039,13 941,14 973,28 914,14 376,15 441,29 818,14 825,15 924,30 749,15 289,16 422,31 711,15 767,16 935,32 702,16 259,17 464,33 723,16 765,18 007,34 773,17 285,18 566,35 851,17 819,19 139,36 957,18 366,19 727,38 094
ARRONDISSEMENT WACK-NGOUNA,46709,47465,94174,48 161,48 941,97 102,49 664,50 467,100 131,51 213,52 042,103 255,52 814,53 669,106 483,54 464,55 345,109 809,56 167,57 076,113 242,57 923,58 861,116 784,59 730,60 697,120 428,61 591,62 588,124 178,63 501,64 528,128 029,65 460,66 520,131 980,67 472,68 564,136 037
